cohort_id,run_id,tpm_path,pdata_path,pairing_status
103091,T_cohort_103091,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_103091_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_103091.csv,paired
10886,T_cohort_10886,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_10886_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_10886.csv,paired
1456,T_cohort_1456,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_1456_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_1456.csv,paired
16446,T_cohort_16446,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_16446_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_16446.csv,paired
1992,T_cohort_1992,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_1992_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_1992.csv,paired
20685,T_cohort_20685,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_20685_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_20685.csv,paired
20711,T_cohort_20711,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_20711_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_20711.csv,paired
22226,T_cohort_22226,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_22226_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_22226.csv,paired
23428,T_cohort_23428,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_23428_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_23428.csv,paired
24450,T_cohort_24450,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_24450_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_24450.csv,paired
26304,T_cohort_26304,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_26304_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_26304.csv,paired
3143,T_cohort_3143,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_3143_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_3143.csv,paired
31863,T_cohort_31863,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_31863_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_31863.csv,paired
35629,T_cohort_35629,,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_35629.csv,pdata_only
37751,T_cohort_37751,,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_37751.csv,pdata_only
39004,T_cohort_39004,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_39004_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_39004.csv,paired
41119,T_cohort_41119,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_41119_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_41119.csv,paired
42568,T_cohort_42568,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_42568_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_42568.csv,paired
47994,T_cohort_47994,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_47994_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_47994.csv,paired
48390,T_cohort_48390,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_48390_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_48390.csv,paired
58644,T_cohort_58644,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_58644_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_58644.csv,paired
59246,T_cohort_59246,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_59246_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_59246.csv,paired
6532,T_cohort_6532,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_6532_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_6532.csv,paired
7390,T_cohort_7390,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_7390_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_7390.csv,paired
86166,T_cohort_86166,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_86166_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_86166.csv,paired
88770,T_cohort_88770,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_88770_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_88770.csv,paired
9893,T_cohort_9893,/root/autodl-tmp/data/transcriptome/raw/tpm/▒φ┤∩╢¿┴┐▒φ╕±/TPM_9893_cleaning.txt,/root/autodl-tmp/data/transcriptome/raw/pdata/样本信息表/pdata_9893.csv,paired
